ID_Cliente,Demografia_Regiao,Plano_Assinatura,Tempo_Visualizacao_Mensal_Horas,Interacoes_Suporte_Mensal,Media_Avaliacoes_Filmes,Status_Retencao,Data_Ultimo_Login
CLI_10001,Sudeste,Premium,109.4,0,4.6,Retido,N/A
CLI_10002,Nordeste,Padrão,94.2,1,3.7,Retido,N/A
CLI_10003,Sudeste,Premium,54.8,1,5.0,Retido,N/A
CLI_10004,Sudeste,Padrão,42.1,0,4.8,Retido,N/A
CLI_10005,Centro-Oeste,Padrão,,1,2.3,Churn,2025-08-04
CLI_10006,Sudeste,Básico,124.5,0,4.3,Retido,N/A
CLI_10007,Sudeste,Básico,82.9,0,4.2,Retido,N/A
CLI_10008,Sul,Premium,,0,4.0,Retido,N/A
CLI_10009,Sudeste,Premium,104.8,1,3.8,Retido,N/A
CLI_10010,Norte,Padrão,110.3,0,4.4,Retido,N/A
CLI_10011,Sudeste,Premium,77.6,0,4.1,Retido,N/A
CLI_10012,Sudeste,Padrão,131.7,0,4.7,Retido,N/A
CLI_10013,Sul,Premium,121.0,1,4.9,Retido,N/A
CLI_10014,Nordeste,Premium,58.3,0,3.6,Retido,N/A
CLI_10015,Sudeste,Premium,124.7,0,4.9,Retido,N/A
CLI_10016,Sudeste,Premium,88.7,0,3.8,Retido,N/A
CLI_10017,Sul,Padrão,146.1,1,4.7,Retido,N/A
CLI_10018,Sul,Premium,10.8,3,2.4,Churn,2025-05-29
CLI_10019,Sudeste,Premium,64.2,0,4.2,Retido,N/A
CLI_10020,Nordeste,Básico,30.9,0,4.6,Retido,N/A
CLI_10021,Sudeste,Básico,150.6,0,4.5,Retido,N/A
CLI_10022,Centro-Oeste,Padrão,112.7,0,4.1,Retido,N/A
CLI_10023,Centro-Oeste,Premium,130.8,1,3.6,Retido,N/A
CLI_10024,Sul,Padrão,104.5,1,3.8,Retido,N/A
CLI_10025,Centro-Oeste,Padrão,132.6,0,4.9,Retido,N/A
CLI_10026,Nordeste,Premium,67.7,0,3.9,Retido,N/A
CLI_10027,Sudeste,Básico,57.3,0,4.2,Retido,N/A
CLI_10028,Sudeste,Padrão,98.6,0,4.6,Retido,N/A
CLI_10029,Sudeste,Premium,33.4,2,3.9,Churn,N/A
CLI_10030,Norte,Padrão,102.1,0,4.1,Retido,N/A
CLI_10031,Centro-Oeste,Básico,83.7,0,4.0,Retido,N/A
CLI_10032,Centro-Oeste,Básico,32.8,0,3.5,Retido,N/A
CLI_10033,Centro-Oeste,Premium,78.2,1,3.9,Retido,N/A
CLI_10034,Sudeste,Premium,158.0,0,3.6,Retido,N/A
CLI_10035,Sudeste,Premium,100.6,1,4.8,Retido,N/A
CLI_10036,Sudeste,Premium,32.3,0,3.9,Retido,N/A
CLI_10037,Norte,Padrão,30.5,2,2.0,Churn,2025-06-10
CLI_10038,Sudeste,Padrão,68.6,0,4.0,Retido,N/A
CLI_10039,Nordeste,Padrão,63.9,2,3.6,Retido,N/A
CLI_10040,Sudeste,Básico,152.9,1,4.7,Retido,N/A
CLI_10041,Sudeste,Premium,107.6,1,4.9,Retido,N/A
CLI_10042,Sudeste,Padrão,45.6,1,4.1,Retido,N/A
CLI_10043,Sudeste,Básico,99.8,0,3.7,Retido,N/A
CLI_10044,Sul,Premium,64.7,2,4.5,Retido,N/A
CLI_10045,Sudeste,Básico,53.1,1,3.7,Churn,2025-07-02
CLI_10046,Sudeste,Premium,86.8,1,5.0,Retido,N/A
CLI_10047,Centro-Oeste,Básico,67.6,0,4.6,Retido,N/A
CLI_10048,Sudeste,Básico,146.3,0,3.6,Retido,N/A
CLI_10049,Centro-Oeste,Premium,35.1,0,4.3,Retido,N/A
CLI_10050,Nordeste,Padrão,58.1,1,4.8,Retido,N/A
CLI_10051,Sudeste,Premium,88.1,1,4.5,Retido,N/A
CLI_10052,Sul,Premium,125.4,0,4.2,Retido,N/A
CLI_10053,Nordeste,Básico,51.8,0,3.6,Retido,N/A
CLI_10054,Sudeste,Padrão,11.1,1,3.9,Churn,2025-08-02
CLI_10055,Sudeste,Básico,79.0,0,4.2,Retido,N/A
CLI_10056,Sudeste,Básico,73.4,0,4.6,Retido,N/A
CLI_10057,Sudeste,Padrão,58.8,0,5.0,Retido,N/A
CLI_10058,Sudeste,Padrão,23.3,1,3.9,Churn,2025-08-25
CLI_10059,Sudeste,Padrão,32.5,1,2.9,Churn,2025-09-16
CLI_10060,Sudeste,Básico,10.6,1,2.8,Churn,2025-05-27
CLI_10061,Sudeste,Básico,137.3,0,4.2,Retido,N/A
CLI_10062,Sudeste,Básico,7.2,2,3.8,Churn,2025-08-23
CLI_10063,Sul,Premium,121.9,0,4.2,Retido,N/A
CLI_10064,Sudeste,Padrão,42.6,1,2.6,Churn,2025-06-28
CLI_10065,Sudeste,Premium,70.4,0,3.7,Retido,N/A
CLI_10066,Sudeste,Premium,73.9,0,4.1,Retido,N/A
CLI_10067,Centro-Oeste,Básico,103.9,1,3.7,Retido,N/A
CLI_10068,Sul,Premium,126.4,0,4.8,Retido,N/A
CLI_10069,Sudeste,Premium,97.5,1,4.5,Retido,N/A
CLI_10070,Sudeste,Premium,67.5,1,3.9,Retido,N/A
CLI_10071,Sudeste,Padrão,102.7,1,4.3,Retido,N/A
CLI_10072,Nordeste,Básico,75.4,0,4.8,Retido,N/A
